"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.793069700E-2,3.054323897E-4,-4.581485991E-4,7.635809598E-4
2.005824900E-2,-9.162971983E-4,-4.581485991E-4,1.985310577E-3
2.218580100E-2,1.527161920E-3,-4.581485991E-4,-4.581485991E-4
2.431335300E-2,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
2.644090500E-2,-9.162971983E-4,-1.679878100E-3,7.635809598E-4
2.856845700E-2,3.054323897E-4,-1.679878100E-3,7.635809598E-4
3.069606100E-2,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
3.282361400E-2,3.054323897E-4,7.635809598E-4,7.635809598E-4
3.495116600E-2,1.527161920E-3,7.635809598E-4,-4.581485991E-4
3.707871800E-2,-9.162971983E-4,7.635809598E-4,-4.581485991E-4
3.920627000E-2,-9.162971983E-4,-1.679878100E-3,7.635809598E-4
4.133382200E-2,1.527161920E-3,-4.581485991E-4,-4.581485991E-4
4.346142600E-2,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
4.558897800E-2,1.527161920E-3,-4.581485991E-4,-4.581485991E-4
4.771653000E-2,3.054323897E-4,7.635809598E-4,-4.581485991E-4
4.984408200E-2,3.054323897E-4,7.635809598E-4,-1.679878100E-3
5.197163400E-2,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
5.409918600E-2,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
5.622679100E-2,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
5.835434300E-2,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
6.048189500E-2,3.054323897E-4,-1.679878100E-3,-4.581485991E-4
6.260944700E-2,2.748891478E-3,-1.679878100E-3,-4.581485991E-4
6.473699900E-2,1.527161920E-3,-4.581485991E-4,-4.581485991E-4
6.686455100E-2,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
6.899215500E-2,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
7.111970700E-2,3.054323897E-4,-4.581485991E-4,7.635809598E-4
7.324725900E-2,3.054323897E-4,-1.679878100E-3,-4.581485991E-4
7.537481100E-2,3.054323897E-4,1.985310577E-3,-4.581485991E-4
7.750236400E-2,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
7.962991600E-2,1.527161920E-3,-4.581485991E-4,-4.581485991E-4
8.175752000E-2,1.527161920E-3,7.635809598E-4,7.635809598E-4
8.388507200E-2,1.527161920E-3,-1.679878100E-3,-4.581485991E-4
8.601262400E-2,1.527161920E-3,-1.679878100E-3,-4.581485991E-4
8.814017600E-2,3.054323897E-4,-1.679878100E-3,1.985310577E-3
9.026772800E-2,-9.162971983E-4,7.635809598E-4,-4.581485991E-4
9.239528000E-2,-9.162971983E-4,7.635809598E-4,-4.581485991E-4
9.452283200E-2,3.054323897E-4,-4.581485991E-4,-1.679878100E-3
9.665043600E-2,3.054323897E-4,-4.581485991E-4,7.635809598E-4
9.877798900E-2,1.527161920E-3,-1.679878100E-3,-4.581485991E-4
1.009055410E-1,-9.162971983E-4,7.635809598E-4,7.635809598E-4
1.030330930E-1,1.527161920E-3,7.635809598E-4,-1.679878100E-3
1.051606450E-1,1.527161920E-3,-4.581485991E-4,-4.581485991E-4
1.072882490E-1,-9.162971983E-4,-1.679878100E-3,7.635809598E-4
1.094158010E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
1.115433530E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
1.136709050E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
1.157984570E-1,1.527161920E-3,-4.581485991E-4,-4.581485991E-4
1.179260090E-1,1.527161920E-3,7.635809598E-4,7.635809598E-4
1.200536140E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
1.221811660E-1,1.527161920E-3,7.635809598E-4,-4.581485991E-4
1.243087180E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
1.264362700E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
1.285638220E-1,1.527161920E-3,7.635809598E-4,7.635809598E-4
1.306913740E-1,3.054323897E-4,7.635809598E-4,-4.581485991E-4
1.328189260E-1,3.054323897E-4,-1.679878100E-3,-4.581485991E-4
1.349465300E-1,1.527161920E-3,-4.581485991E-4,-1.679878100E-3
1.370740820E-1,3.054323897E-4,7.635809598E-4,-1.679878100E-3
1.392016340E-1,2.748891478E-3,7.635809598E-4,-4.581485991E-4
1.413291860E-1,1.527161920E-3,7.635809598E-4,-4.581485991E-4
1.434567390E-1,3.054323897E-4,7.635809598E-4,7.635809598E-4
1.455842910E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
1.477118950E-1,1.527161920E-3,7.635809598E-4,-4.581485991E-4
1.498394470E-1,1.527161920E-3,-1.679878100E-3,-4.581485991E-4
1.519669990E-1,-9.162971983E-4,7.635809598E-4,-4.581485991E-4
1.540945510E-1,-9.162971983E-4,1.985310577E-3,-4.581485991E-4
1.562221030E-1,-9.162971983E-4,1.985310577E-3,-4.581485991E-4
1.583496550E-1,1.527161920E-3,-4.581485991E-4,-4.581485991E-4
1.604772070E-1,3.054323897E-4,7.635809598E-4,-4.581485991E-4
1.626048110E-1,3.054323897E-4,7.635809598E-4,-4.581485991E-4
1.647323640E-1,3.054323897E-4,-1.679878100E-3,-1.679878100E-3
