"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.506095700E-2,-1.936875153E1,-4.050000191E0,-4.788750076E1
3.506095700E-2,-1.948125076E1,-3.225000143E0,-4.670625305E1
4.506095700E-2,-2.064375114E1,-4.275000095E0,-4.906875229E1
5.506095700E-2,-1.998750114E1,-4.087500095E0,-4.756875229E1
6.506095700E-2,-2.077500153E1,-4.143750191E0,-4.816875076E1
7.506095700E-2,-1.993125153E1,-2.700000048E0,-4.734375000E1
8.506095700E-2,-2.030625153E1,-4.931250095E0,-4.558125305E1
9.506095700E-2,-2.025000000E1,-3.412500143E0,-4.593750000E1
1.050609570E-1,-2.088750076E1,-3.862500191E0,-4.636875153E1
1.150609570E-1,-2.090625000E1,-3.862500191E0,-4.711875153E1
1.250609570E-1,-1.963125038E1,-3.375000238E0,-4.655625153E1
1.350609570E-1,-2.120625114E1,-4.575000286E0,-4.498125076E1
1.450609570E-1,-2.073750114E1,-3.712500095E0,-4.681875229E1
1.550609570E-1,-2.107500076E1,-4.443750381E0,-4.680000305E1
1.650609570E-1,-1.959375000E1,-2.381250143E0,-4.599375153E1
1.750609570E-1,-2.023125076E1,-2.718750000E0,-4.732500076E1
1.850609570E-1,-2.101875114E1,-2.775000095E0,-4.792500305E1
1.950609570E-1,-1.948125076E1,-2.943750143E0,-4.777500153E1
2.050609570E-1,-2.150625038E1,-3.900000095E0,-4.605000305E1
2.150609570E-1,-2.081250000E1,-2.325000048E0,-4.552500153E1
2.250609570E-1,-1.931250000E1,-3.337500095E0,-4.625625229E1
2.350609570E-1,-2.233125114E1,-4.650000095E0,-4.706250000E1
2.450609570E-1,-2.019375038E1,-1.875000119E0,-4.661250305E1
2.550609570E-1,-1.978125000E1,-3.243750095E0,-4.670625305E1
2.650609570E-1,-2.055000114E1,-3.000000000E0,-4.610625076E1
2.750609570E-1,-2.090625000E1,-3.600000143E0,-4.773750305E1
2.850609570E-1,-1.966875076E1,-4.068750381E0,-4.651875305E1
2.950609570E-1,-2.137500000E1,-4.181250095E0,-4.650000000E1
3.050609570E-1,-2.195625114E1,-3.656250238E0,-4.636875153E1
3.150609570E-1,-2.081250000E1,-2.325000048E0,-4.582500076E1
3.250609570E-1,-2.115000153E1,-3.037500143E0,-4.548750305E1
3.350609570E-1,-1.944375038E1,-2.512500048E0,-4.644375229E1
3.450609570E-1,-1.974375153E1,-3.787500143E0,-4.306875229E1
3.550609570E-1,-2.130000114E1,-2.512500048E0,-4.657500076E1
3.650609570E-1,-1.965000153E1,-4.331250191E0,-4.485000229E1
3.750609570E-1,-2.028750038E1,-3.693750143E0,-4.758750153E1
3.850609570E-1,-2.011875153E1,-3.543750048E0,-4.775625229E1
3.950609570E-1,-2.242500114E1,-3.825000048E0,-4.560000229E1
4.050609570E-1,-1.933125114E1,-3.618750095E0,-4.655625153E1
4.150609570E-1,-2.068125153E1,-2.737500191E0,-4.627500153E1
4.250609570E-1,-2.073750114E1,-3.450000048E0,-4.788750076E1
4.350609570E-1,-1.935000038E1,-4.050000191E0,-4.653750229E1
4.450609570E-1,-2.210625076E1,-3.525000095E0,-4.621875000E1
4.550609570E-1,-1.980000114E1,-3.525000095E0,-4.670625305E1
4.650609570E-1,-1.963125038E1,-3.093750238E0,-4.732500076E1
4.750609570E-1,-2.092500114E1,-4.837500095E0,-4.663125229E1
4.850609570E-1,-1.931250000E1,-2.381250143E0,-4.766250229E1
4.950609570E-1,-2.051250076E1,-2.306250095E0,-4.614375305E1
5.050609570E-1,-2.055000114E1,-3.000000000E0,-4.610625076E1
5.150609570E-1,-2.208750153E1,-2.550000191E0,-4.685625076E1
5.250609570E-1,-2.030625153E1,-4.387500286E0,-4.755000305E1
5.350609570E-1,-2.070000076E1,-3.150000095E0,-4.595625305E1
5.450609570E-1,-2.146875000E1,-3.337500095E0,-4.501875305E1
5.550609570E-1,-2.075625038E1,-3.731250048E0,-4.758750153E1
5.650609570E-1,-2.310000038E1,-4.706250191E0,-4.661250305E1
5.750609570E-1,-2.021250153E1,-2.156250000E0,-4.736250305E1
5.850609570E-1,-2.070000076E1,-3.431250095E0,-4.563750076E1
5.950609570E-1,-2.184375000E1,-4.481250286E0,-4.648125076E1
6.050609570E-1,-2.010000038E1,-3.525000095E0,-4.578750229E1
6.150609570E-1,-2.131875038E1,-3.206250191E0,-4.593750000E1
6.250609570E-1,-2.105625153E1,-4.425000191E0,-4.558125305E1
6.350609570E-1,-2.025000000E1,-3.131250143E0,-4.655625153E1
6.450609570E-1,-2.148750114E1,-3.618750095E0,-4.576875305E1
6.550609570E-1,-2.176875114E1,-2.531250000E0,-4.655625153E1
6.650609570E-1,-2.126250076E1,-5.137500286E0,-4.736250305E1
6.750609570E-1,-2.026875114E1,-4.106250286E0,-4.561875153E1
6.850609570E-1,-2.023125076E1,-3.131250143E0,-4.625625229E1
6.950609570E-1,-2.085000038E1,-3.018750191E0,-4.580625153E1
7.050609570E-1,-2.077500153E1,-4.425000191E0,-4.755000305E1
7.150609570E-1,-1.910625076E1,-2.212500095E0,-4.586250305E1
7.250609570E-1,-2.058750153E1,-4.537500381E0,-4.573125076E1
7.350609570E-1,-2.092500114E1,-4.837500095E0,-4.663125229E1
7.450609570E-1,-2.173125076E1,-2.531250000E0,-4.460625076E1
7.550609570E-1,-2.006250000E1,-2.568750143E0,-4.612500000E1
7.650609570E-1,-2.071875000E1,-3.431250095E0,-4.683750153E1
7.750609570E-1,-2.086875153E1,-3.581250191E0,-4.606875229E1
7.850609570E-1,-2.148750114E1,-3.356250048E0,-4.608750153E1
7.950609570E-1,-2.182500076E1,-4.200000286E0,-4.588125229E1
8.050609570E-1,-2.013750076E1,-4.237500191E0,-4.636875153E1
8.150609570E-1,-1.931250000E1,-4.031250000E0,-4.456875229E1
8.250609570E-1,-1.884375000E1,-2.625000000E0,-4.734375000E1
8.350609570E-1,-2.101875114E1,-2.493750095E0,-4.762500000E1
8.450609570E-1,-2.088750076E1,-3.581250191E0,-4.668750000E1
8.550609570E-1,-2.133750153E1,-3.750000238E0,-4.591875076E1
8.650609570E-1,-2.026875114E1,-3.693750143E0,-4.623750305E1
8.750609570E-1,-2.268750000E1,-2.325000048E0,-4.625625229E1
8.850609570E-1,-2.083125114E1,-2.062500000E0,-4.749375153E1
8.950609570E-1,-1.978125000E1,-3.243750095E0,-4.610625076E1
9.050609570E-1,-1.946250153E1,-3.225000143E0,-4.640625000E1
9.150609570E-1,-2.000625038E1,-4.650000095E0,-4.755000305E1
9.250609570E-1,-2.064375114E1,-1.481250048E0,-4.663125229E1
9.350609570E-1,-2.328750038E1,-2.212500095E0,-4.505625153E1
9.450609570E-1,-2.148750114E1,-3.356250048E0,-4.668750000E1
9.550609570E-1,-1.991250038E1,-2.700000048E0,-4.657500076E1
9.650609570E-1,-2.071875000E1,-3.431250095E0,-4.593750000E1
9.750609570E-1,-2.276250076E1,-4.537500381E0,-4.616250229E1
9.850609570E-1,-2.088750076E1,-4.275000095E0,-4.498125076E1
9.950609570E-1,-2.055000114E1,-3.281250238E0,-4.548750305E1
1.005060957E0,-2.021250153E1,-2.700000048E0,-4.567500305E1
1.015060957E0,-2.086875153E1,-3.581250191E0,-4.576875305E1
1.025060957E0,-2.146875000E1,-2.662500143E0,-4.670625305E1
1.035060957E0,-2.058750153E1,-3.843750238E0,-4.711875153E1
1.045060957E0,-2.105625153E1,-4.425000191E0,-4.558125305E1
1.055060957E0,-1.993125153E1,-3.112500191E0,-4.595625305E1
1.065060957E0,-2.103750038E1,-4.143750191E0,-4.560000229E1
1.075060957E0,-2.056875038E1,-3.562500238E0,-4.668750000E1
1.085060957E0,-2.066250038E1,-2.737500191E0,-4.520625305E1
1.095060957E0,-1.953750038E1,-5.025000095E0,-4.663125229E1
1.105060957E0,-2.103750038E1,-3.731250048E0,-4.621875000E1
1.115060957E0,-2.073750114E1,-3.712500095E0,-4.728750229E1
1.125060957E0,-2.214375114E1,-4.218750000E0,-4.678125000E1
1.135060957E0,-2.103750038E1,-3.731250048E0,-4.621875000E1
1.145060957E0,-2.105625153E1,-4.425000191E0,-4.618125153E1
1.155060957E0,-2.146875000E1,-2.643750191E0,-4.640625000E1
1.165060957E0,-1.978125000E1,-3.506250143E0,-4.548750305E1
1.175060957E0,-2.130000114E1,-2.775000095E0,-4.520625305E1
1.185060957E0,-2.058750153E1,-4.256250381E0,-4.605000305E1
1.195060957E0,-1.976250076E1,-2.550000191E0,-4.749375153E1
1.205060957E0,-2.090625000E1,-4.275000095E0,-4.635000229E1
1.215060957E0,-2.197500038E1,-3.937500238E0,-4.605000305E1
1.225060957E0,-2.113125038E1,-2.625000000E0,-4.550625229E1
1.235060957E0,-1.929375076E1,-5.718750000E0,-4.903125381E1
1.245060957E0,-1.946250153E1,-3.487500191E0,-4.580625153E1
1.255060957E0,-2.025000000E1,-3.131250143E0,-4.655625153E1
1.265060957E0,-2.088750076E1,-3.862500191E0,-4.606875229E1
1.275060957E0,-2.060625076E1,-4.275000095E0,-4.740000153E1
1.285060957E0,-1.921875000E1,-4.181250095E0,-4.773750305E1
1.295060957E0,-2.058750153E1,-3.562500238E0,-4.743750000E1
1.305060957E0,-2.000625038E1,-4.650000095E0,-4.725000000E1
1.315060957E0,-2.026875114E1,-4.106250286E0,-4.561875153E1
1.325060957E0,-2.195625114E1,-3.112500191E0,-4.743750000E1
1.335060957E0,-2.244375038E1,-3.562500238E0,-4.756875229E1
1.345060957E0,-2.105625153E1,-4.162500381E0,-4.680000305E1
1.355060957E0,-2.056875038E1,-4.256250381E0,-4.440000153E1
1.365060957E0,-1.980000114E1,-3.787500143E0,-4.608750153E1
1.375060957E0,-1.980000114E1,-3.525000095E0,-4.670625305E1
1.385060957E0,-2.216250038E1,-4.500000000E0,-4.648125076E1
1.395060957E0,-2.240625000E1,-3.543750048E0,-4.485000229E1
1.405060957E0,-2.259375000E1,-3.975000143E0,-4.603125000E1
1.415060957E0,-2.077500153E1,-4.968750000E0,-4.678125000E1
1.425060957E0,-2.071875000E1,-3.431250095E0,-4.623750305E1
1.435060957E0,-1.929375076E1,-3.056250095E0,-4.567500305E1
1.445060957E0,-2.023125076E1,-3.131250143E0,-4.625625229E1
1.455060957E0,-2.088750076E1,-4.275000095E0,-4.575000000E1
1.465060957E0,-2.056875038E1,-3.300000191E0,-4.715625000E1
1.475060957E0,-2.092500114E1,-5.118750095E0,-4.571250153E1
1.485060957E0,-2.120625114E1,-3.881250143E0,-4.666875076E1
1.495060957E0,-2.118750000E1,-3.337500095E0,-4.713750076E1
1.505060957E0,-2.118750000E1,-3.881250143E0,-4.606875229E1
1.515060957E0,-1.948125076E1,-3.487500191E0,-4.610625076E1
1.525060957E0,-2.182500076E1,-4.200000286E0,-4.648125076E1
1.535060957E0,-2.103750038E1,-3.731250048E0,-4.681875229E1
1.545060957E0,-2.051250076E1,-2.587500095E0,-4.507500076E1
1.555060957E0,-2.122500038E1,-3.337500095E0,-4.880625153E1
1.565060957E0,-2.025000000E1,-3.412500143E0,-4.653750229E1
1.575060957E0,-2.206875038E1,-3.787500143E0,-4.288125229E1
1.585060957E0,-2.006250000E1,-2.962500095E0,-4.475625229E1
1.595060957E0,-2.218125153E1,-2.418750048E0,-4.338750076E1
1.605060957E0,-2.199375153E1,-4.912500381E0,-4.539375305E1
1.615060957E0,-2.145000076E1,-2.100000143E0,-4.644375229E1
1.625060957E0,-2.055000114E1,-3.018750191E0,-4.640625000E1
1.635060957E0,-2.210625076E1,-3.806250095E0,-4.515000153E1
1.645060957E0,-2.197500038E1,-3.393750191E0,-4.743750000E1
1.655060957E0,-2.073750114E1,-4.125000000E0,-4.590000153E1
1.665060957E0,-1.993125153E1,-3.656250238E0,-4.518750000E1
1.675060957E0,-1.921875000E1,-4.443750381E0,-4.666875076E1
1.685060957E0,-2.098125076E1,-2.475000143E0,-4.627500153E1
1.695060957E0,-2.145000076E1,-2.643750191E0,-4.580625153E1
1.705060957E0,-2.178750038E1,-3.787500143E0,-4.515000153E1
1.715060957E0,-2.113125038E1,-3.037500143E0,-4.473750305E1
1.725060957E0,-2.105625153E1,-3.468750238E0,-4.818750381E1
1.735060957E0,-1.886250114E1,-3.600000143E0,-4.625625229E1
1.745060957E0,-2.068125153E1,-2.456250191E0,-4.687500000E1
1.755060957E0,-2.025000000E1,-3.412500143E0,-4.623750305E1
1.765060957E0,-2.068125153E1,-2.737500191E0,-4.597500229E1
1.775060957E0,-2.049375153E1,-1.743750095E0,-4.586250305E1
1.785060957E0,-2.133750153E1,-2.793750048E0,-4.762500000E1
1.795060957E0,-2.214375114E1,-4.218750000E0,-4.648125076E1
